ticker,name,sector,規模区分
4186.T,東京応化工業,化学,TOPIX Mid400
4188.T,三菱ケミカルグループ,化学,TOPIX Large70
4194.T,ビジョナル,情報・通信業,TOPIX Mid400
4202.T,ダイセル,化学,TOPIX Mid400
4203.T,住友ベークライト,化学,TOPIX Mid400
4204.T,積水化学工業,化学,TOPIX Mid400
4205.T,日本ゼオン,化学,TOPIX Mid400
4206.T,アイカ工業,化学,TOPIX Mid400
4208.T,ＵＢＥ,化学,TOPIX Mid400
4272.T,日本化薬,化学,TOPIX Mid400
4307.T,野村総合研究所,情報・通信業,TOPIX Large70
4324.T,電通グループ,サービス業,TOPIX Mid400
4385.T,メルカリ,情報・通信業,TOPIX Mid400
4401.T,ＡＤＥＫＡ,化学,TOPIX Mid400
4403.T,日油,化学,TOPIX Mid400
4452.T,花王,化学,TOPIX Large70
4502.T,武田薬品工業,医薬品,TOPIX Core30
4503.T,アステラス製薬,医薬品,TOPIX Large70
4506.T,住友ファーマ,医薬品,TOPIX Mid400
4507.T,塩野義製薬,医薬品,TOPIX Large70
4516.T,日本新薬,医薬品,TOPIX Mid400
4519.T,中外製薬,医薬品,TOPIX Large70
4523.T,エーザイ,医薬品,TOPIX Mid400
4527.T,ロート製薬,医薬品,TOPIX Mid400
4528.T,小野薬品工業,医薬品,TOPIX Mid400
4530.T,久光製薬,医薬品,TOPIX Mid400
4536.T,参天製薬,医薬品,TOPIX Mid400
4540.T,ツムラ,医薬品,TOPIX Mid400
4543.T,テルモ,精密機器,TOPIX Large70
4544.T,Ｈ．Ｕ．グループホールディングス,サービス業,TOPIX Mid400
4568.T,第一三共,医薬品,TOPIX Core30
4578.T,大塚ホールディングス,医薬品,TOPIX Large70
4587.T,ペプチドリーム,医薬品,TOPIX Mid400
4612.T,日本ペイントホールディングス,化学,TOPIX Mid400
4613.T,関西ペイント,化学,TOPIX Mid400
4626.T,太陽ホールディングス,化学,TOPIX Mid400
4631.T,ＤＩＣ,化学,TOPIX Mid400
4661.T,オリエンタルランド,サービス業,TOPIX Large70
4665.T,ダスキン,サービス業,TOPIX Mid400
4666.T,パーク２４,不動産業,TOPIX Mid400
4676.T,フジ・メディア・ホールディングス,情報・通信業,TOPIX Mid400
4680.T,ラウンドワン,サービス業,TOPIX Mid400
4681.T,リゾートトラスト,サービス業,TOPIX Mid400
4684.T,オービック,情報・通信業,TOPIX Mid400
4689.T,ＬＩＮＥヤフー,情報・通信業,TOPIX Large70
4704.T,トレンドマイクロ,情報・通信業,TOPIX Mid400
4716.T,日本オラクル,情報・通信業,TOPIX Mid400
4732.T,ユー・エス・エス,サービス業,TOPIX Mid400
